Population,Time,Rounds,SegmentError
258,5125.169601917267,2100,0.0008084888880451521
259,7659.958546876907,3100,0.00016017755842767656
260,7707.720916509628,3100,0.0006102738746752342
261,5211.444658994675,2100,0.0005107012111693621
262,7690.045777082443,3100,2.6285037165507674e-05
263,5247.61803984642,2100,0.02248093734184901
264,5276.007955312729,2100,0.0012253941191981237
265,5302.224322557449,2100,0.0005889065020407239
266,5333.498556137085,2100,0.010259453828136126
267,5370.988668680191,2100,0.0006401510521148642
268,7707.1727838516235,3100,2.8345273070347805e-05
269,7764.726174592972,3100,7.739558350294828e-05
270,5439.677779912949,2100,0.0002629289908024172
271,5450.126072883606,2100,0.0006852800336976846
272,5476.194864034653,2100,1.7521502741146833e-05
273,7678.41610789299,3100,9.95695882011205e-06
274,7663.9558029174805,3100,0.00021375706031297645
275,5263.052236318588,2100,2.470434264978394e-05
276,5275.692816734314,2100,0.0006070014787837863
277,2795.688554048538,1100,0.026501968502998352
278,5349.134914636612,2100,0.010083440691232681
279,5322.284891366959,2100,0.00045501770606885356
280,5572.847519397736,2100,0.008203531925876936
281,5331.779656887054,2100,0.00019822135800495744
282,7021.84666967392,3100,0.0003858981265996893
283,5540.426233530045,2100,0.000960152285794417
284,5335.673010587692,2100,0.002501079657425483
285,5065.551313638687,2100,0.00024031977712487182
286,5014.586464881897,2100,0.0035720070203145346
287,4777.541811943054,2100,0.011864252388477325
288,4745.360766649246,2100,0.0035962962235013642
289,2863.3023681640625,1100,0.027751199901103973
290,4425.771905899048,2100,0.0008595032462229332
291,4392.25196146965,2100,0.0002123049731987218
292,5421.347156763077,3100,0.00014334363125575086
293,2687.757617712021,1100,0.023954977591832478
294,5321.9025847911835,3100,7.278214980033226e-06
295,5324.242919206619,3100,0.0001726470848855873
296,4227.04657459259,2100,0.019658592840035755
297,4063.807357311249,2100,0.01592225208878517
298,3975.2163174152374,2100,0.0002352195636679729
299,3880.826672077179,2100,0.003512510098516941
300,3856.9598360061646,2100,0.00221935644124945
